Entity,Code,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ","Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ",Year,Population (historical estimates),Continent
Northern Mariana Islands,MNP,2015,,,,55779,Oceania
Norway,NOR,2015,530.48,,,5199827,Europe
Oceania,,2015,,,,39858693,
Oman,OMN,2015,414.85,360.9,1995,4267341,Asia
Pakistan,PAK,2015,,,,199426953,Asia
Palau,PLW,2015,,,,17665,Oceania
Palestine,PSE,2015,,,,4529160,Asia
Panama,PAN,2015,368.96,,,3968490,North America
Papua New Guinea,PNG,2015,,,,8107772,Oceania
Paraguay,PRY,2015,366.83,353.29,1995,6688746,South America
Parma,OWID_PMA,2015,,,,,Europe
Peru,PER,2015,419.49,342.03,1995,30470739,South America
Philippines,PHL,2015,,,,102113206,Asia
Pitcairn,PCN,2015,,,,,Oceania
Poland,POL,2015,528.84,,,38034076,Europe
Portugal,PRT,2015,525.21,396.81,1990,10368346,Europe
Puerto Rico,PRI,2015,396.29,,,3381512,North America
Qatar,QAT,2015,438.9,,,2565708,Asia
Republic of Vietnam,OWID_RVN,2015,,,,,Asia
Reunion,REU,2015,,,,863359,Africa
Romania,ROU,2015,469.42,463.31,1995,19925182,Europe
Russia,RUS,2015,551.63,551.76,1990,144985059,Europe
Rwanda,RWA,2015,,,,11369066,Africa
Saint Barthlemy,,2015,,,,9696,
Saint Barthélemy,BLM,2015,,,,,North America
Saint Helena,SHN,2015,,,,5869,Africa
Saint Kitts and Nevis,KNA,2015,,,,51204,North America
Saint Lucia,LCA,2015,,,,179131,North America
Saint Martin (French part),MAF,2015,,,,35865,North America
Saint Pierre and Miquelon,SPM,2015,,,,5992,North America
Saint Vincent and the Grenadines,VCT,2015,,,,109135,North America
Samoa,WSM,2015,,,,193510,Oceania
San Marino,SMR,2015,,,,33270,Europe
Sao Tome and Principe,STP,2015,,,,199439,Africa
Saudi Arabia,SAU,2015,375.6,,,31717676,Asia
Saxony,OWID_SAX,2015,,,,,Europe
Senegal,SEN,2015,,,,14578450,Africa
Serbia,SRB,2015,512.22,,,8876777,Europe
Serbia and Montenegro,OWID_SRM,2015,,,,,Europe
Serbia excluding Kosovo,OWID_SEK,2015,,,,,Europe
Seychelles,SYC,2015,,,,94981,Africa
Sierra Leone,SLE,2015,,,,7171909,Africa
Singapore,SGP,2015,619.17,497.46,1985,5592143,Asia
Sint Maarten (Dutch part),SXM,2015,,,,39967,North America
Slovakia,SVK,2015,495.32,524.26,1995,5435614,Europe
Slovenia,SVN,2015,518.04,458.32,1990,2071199,Europe
Solomon Islands,SLB,2015,,,,603133,Oceania
Somalia,SOM,2015,,,,13797204,Africa
Somaliland,OWID_SML,2015,,,,,Africa
South Africa,ZAF,2015,374.06,349.88,1995,55386369,Africa
South America,,2015,,,,412362689,
South Georgia and the South Sandwich Islands,SGS,2015,,,,,South America
South Korea,KOR,2015,607.23,519.99,1985,50823087,Asia
South Ossetia,OWID_SOS,2015,,,,,Asia
South Sudan,SSD,2015,,,,10715657,Africa
Spain,ESP,2015,504.83,495.49,1990,46671919,Europe
Spain (regions),,2015,510.09,,,,
Sri Lanka,LKA,2015,,,,20908024,Asia
Sudan,SDN,2015,,,,38902948,Africa
Suriname,SUR,2015,,,,559136,South America
Svalbard and Jan Mayen,SJM,2015,,,,2400,Europe
Sweden,SWE,2015,509.15,470.88,1985,9764949,Europe
Switzerland,CHE,2015,543.83,556.52,1990,8296775,Europe
Syria,SYR,2015,,,,17997411,Asia
Taiwan,TWN,2015,597.75,571.59,1990,23557473,Asia
Tajikistan,TJK,2015,,,,8454019,Asia
Tanzania,TZA,2015,,,,51482638,Africa
Thailand,THA,2015,440.25,472.73,1985,68714519,Asia
Timor,TLS,2015,,,,1196294,Asia
Togo,TGO,2015,,,,7323162,Africa
Tokelau,TKL,2015,,,,1247,Oceania
Tonga,TON,2015,,,,100780,Oceania
Transnistria,OWID_TRS,2015,,,,,Europe
Trinidad and Tobago,TTO,2015,438.75,,,1370332,North America
Tunisia,TUN,2015,384.12,,,11179951,Africa
Turkey,TUR,2015,470.39,,,78529413,Asia
Turkmenistan,TKM,2015,,,,5565283,Asia
Turks and Caicos Islands,TCA,2015,,,,35979,North America
Tuscany,OWID_TUS,2015,,,,,Europe
Tuvalu,TUV,2015,,,,11099,Oceania
Two Sicilies,OWID_SIC,2015,,,,,Europe
USSR,OWID_USS,2015,,,,,Europe
Uganda,UGA,2015,,,,38225447,Africa
Ukraine,UKR,2015,,,,44921636,Europe
United Arab Emirates,ARE,2015,460.49,,,9262896,Asia
United Arab Emirates (Abu Dhabi),,2015,437.07,,,,
United Arab Emirates (Dubai),,2015,510.09,,,,
United Kingdom,GBR,2015,515.8,511,1990,65860149,Europe
United Korea,OWID_KRU,2015,,,,,Asia
United States,USA,2015,529.09,477.74,1985,320878312,North America
United States (Massachusetts),,2015,522.62,,,,
United States (North Carolina),,2015,495.27,,,,
United States Minor Outlying Islands,UMI,2015,,,,,Oceania
United States Virgin Islands,VIR,2015,,,,104950,North America
Uruguay,URY,2015,445.45,,,3412013,South America
Uzbekistan,UZB,2015,,,,30929556,Asia
Vanuatu,VUT,2015,,,,271128,Oceania
Vatican,VAT,2015,,,,790,Europe
Venezuela,VEN,2015,,,,30081827,South America
Vietnam,VNM,2015,520.04,,,92677082,Asia
Wallis and Futuna,WLF,2015,,,,12262,Oceania
West Germany,OWID_GFR,2015,,,,,Europe
Western Sahara,ESH,2015,,,,526211,Africa
World,OWID_WRL,2015,,,,7380117870,
Wuerttemburg,OWID_WRT,2015,,,,,Europe
Yemen,YEM,2015,,,,26497881,Asia
Yemen Arab Republic,OWID_YAR,2015,,,,,Asia
Yemen People's Republic,OWID_YPR,2015,,,,,Asia
Yugoslavia,OWID_YGS,2015,,,,,Europe
Zambia,ZMB,2015,,,,15879370,Africa
Zanzibar,OWID_ZAN,2015,,,,,Africa
Zimbabwe,ZWE,2015,,,,13814642,Africa
Åland Islands,ALA,2015,,,,,Europe
